No,,m_name,address,경도,위도,상태
1,0,"CU (구,훼미리마트)(전주금암점)",전라북도 전주시 덕진구 금암1동 기린대로 398,127.132497506748,35.8376870488588,정좌표
2,1,금암면옥,전주시 덕진구 기린대로 400-3,127.132277784843,35.8380628903152,정좌표
3,2,대성고기백화점,전라북도 전주시 덕진구 태진로 137-4,127.13491241437,35.833376853386,정좌표
4,3,또또분식,전주시 덕진구 삼송3길 14,127.135447511714,35.842414894215,정좌표
5,4,롯데리아 전주터미널,전주시 덕진구 가리내로 21,127.133604922093,35.8340423225753,정좌표
6,5,바른카츠,전주시 덕진구 삼송5길 14-23,127.138110841721,35.8437415521601,정좌표
7,6,본도시락 전북대점,전라북도 전주시 덕진구 조경단로 83,127.138798067429,35.841762326491,정좌표
8,7,본설렁탕렁탕 전주금암점,전라북도 전주시 덕진구 전주천동로 490,127.133235890216,35.8244604636349,인근좌표
9,8,슈퍼.Super,전주시 덕진구 금암동 전주천동로 493,127.137597239645,35.8334267718622,인근좌표
10,9,신김밥천국,전주시 덕진구 조경단로 107,127.138337380058,35.843844747469,정좌표
11,10,용반점,전주시 덕진구 삼송3길 47,127.137682574614,35.8438631514315,정좌표
12,11,파리바게뜨 전주남도점,전주시 덕진구 기린대로 400,127.132074093081,35.8379641714023,정좌표
13,12,본죽 전주금암점,전라북도 전주시 덕진구 백제대로 649,127.140221043455,35.8432802221052,정좌표
14,13,태평마트,전라북도 전주시 덕진구 거북바우3길 3 ,127.138447292763,35.8385357519336,정좌표
15,14,김밥마리롤초밥,전라북도 전주시 완산구 세내로 554,127.098888111082,35.8344746913599,정좌표
16,15,남북로이마트,전라북도 전주시 완산구 권삼득로 59,127.146796750537,35.8270075679007,정좌표
17,16,롯데리아 전주시청점,전라북도 전주시 완산구 기린대로 236,127.145201064986,35.8276385067156,정좌표
18,17,나들가게만민마트,전북 전주시 완산구 마당재4길 23,127.159386158635,35.8229370445229,정좌표
19,18,나들가게보성마트,전북 전주시 완산구 인봉1길 47,127.157599642187,35.8245469429967,정좌표
20,19,본죽 전주시청점,전라북도 전주시 완산구 노송광장로 63,127.144799656758,35.8262589321745,정좌표
21,20,빵아저씨,전북 전주시 완산구 견훤왕궁로 27,127.152451448831,35.8228574161916,정좌표
22,21,신공알뜰쇼핑,전북 전주시 완산구 인봉1길 48-1,127.157863886674,35.8244011828921,정좌표
23,22,청라회관,전라북도 전주시 완산구 노송여울2길 10,127.146548201366,35.8242286903018,정좌표
24,23,초록새참꽈배기,"전주시 완산구 기린대로 165-14,1층",127.150039779106,35.8224649780823,인근좌표
25,29,"CU (구,훼미리마트)(덕진경기장점)",전북 전주시 덕진구 들사평서로 16,127.120924658577,35.8376556103673,정좌표
26,30,"CU (구,훼미리마트)(전북대공대점)",전북 전주시 덕진구 백제대로 567 전북대학교,127.132538062612,35.8466019546123,정좌표
27,31,"CU (구,훼미리마트)(전북대학생회관점)",전북 전주시 덕진구 백제대로 567 전북대학교,127.132538062612,35.8466019546123,정좌표
28,32,"CU (구,훼미리마트)(전북대학습관점)",전북 전주시 덕진구 백제대로 567 전북대학교,127.132538062612,35.8466019546123,정좌표
29,34,네네앤봉구스 전북대덕진점,전라북도 전주시 덕진구 사평로 43,127.121214567562,35.8414534844127,정좌표
30,35,롯데리아,전주시 덕진구 가련산로 30,127.111814603276,35.8419238827108,정좌표
31,36,롯데리아 전북대점,전라북도 전주시 덕진구 명륜4길 17,127.12654521677,35.8434570507968,정좌표
32,37,롯데리아전주하가디아이점,전북 전주시 덕진구 가련산로 30,127.111814603276,35.8419238827108,정좌표
33,38,마트유,전북 전주시 덕진구 하가1길 15,127.11534620865,35.8473832253208,정좌표
34,39,본죽&비빔밥 전북대점,전라북도 전주시 덕진구 권삼득로 333,127.125867682859,35.8449245705093,정좌표
35,40,본죽&비빔밥 전주하가점,전라북도 전주시 덕진구 가련산로 6,127.11026668536,35.8404549256925,정좌표
36,41,봉구스밥버거 전북대점,전라북도 전주시 덕진구 명륜4길 21-6,127.126430308364,35.8441983595469,정좌표
37,42,브래드#,전라북도 전주시 덕진구 경동로 34,127.109941978331,35.8430268012677,정좌표
38,43,샌앤잼,전주시 덕진구 경동로 38,127.110341317497,35.843026924704,정좌표
39,44,알쌈닭불고기,전북 전주시 덕진구 명륜4길 14,127.126877604002,35.8431199788176,정좌표
40,45,오성슈퍼,전북 전주시 덕진구 호반8길 13-4,127.115835679019,35.852090116604,정좌표
41,46,재단법인 전주푸드 통합지원센터(휴게음식점),전주시 덕진구 기린대로 451,127.126922271553,35.8408244326648,정좌표
42,47,피자스쿨하가지구점,전북 전주시 덕진구 가련산로 17,127.11061731,35.8416405096149,정좌표
43,48,홈마트,전라북도 전주시 덕진구 기린대로 479,127.12515240102,35.8422018178483,정좌표
44,49,김밥본부,전주시 완산구 천경로 26-1,127.15341810118,35.8086777735336,정좌표
45,50,소풍가는날,전주시 완산구 천경로 25,127.153141167778,35.8085699527863,정좌표
46,51,동네마트,전북 전주시 완산구 용리로 157-1,127.12532212605,35.7984367669175,정좌표
47,52,맛뜨랑분식,전주시 완산구 성지산로 15,127.120169524874,35.7999172860544,정좌표
48,53,유명마트,전북 전주시 완산구 송정2길 3,127.119658826269,35.7995257217003,정좌표
49,54,제일마트,전북 전주시 완산구 백제대로 101,127.125189687803,35.8021870863441,정좌표
50,55,1호점옛날멸치국수,전북 전주시 완산구 거마서로 29,127.11927021224,35.7952959006864,정좌표
51,56,김미경부대찌개,전주시 완산구 거마산2길 6,127.124117378908,35.7970748983701,정좌표
52,57,본죽 전주삼천점,전라북도 전주시 완산구 용리로 136,127.124296031886,35.7973268280582,정좌표
53,58,삼천쿨마트,전북 전주시 완산구 거마산로 3,127.121781666291,35.7964646612409,정좌표
54,59,신일알뜰쇼핑,전북 전주시 완산구 백제대로 33,127.129812845398,35.7976470644811,정좌표
55,60,신포우리만두삼천점,전라북도 전주시 완산구삼천동1가 705,127.126472824654,35.7964044962196,정좌표
56,61,오늘김밥,전주시 완산구 용리로 122,127.122979335266,35.7979978385282,정좌표
57,62,이가네쟁반짜장칡냉면전문점삼천성,전북 전주시 완산구 거마중앙로 52,127.122174868137,35.7959587368758,정좌표
58,63,전북전주덕진지역자활센터 참참떡볶이,전주시 완산구 솟대로 13,127.125917336995,35.7951161547326,정좌표
59,64,정들면,전주시 완산구 난전들로 258,127.117153414288,35.7916026391396,정좌표
60,65,파리바게뜨 삼익점,전주시 완산구 용리로 138,127.124543587557,35.7971934404846,정좌표
61,66,파리바게뜨 전주라일락점,전주시 완산구 거마평로 4,127.117083334178,35.7928039138191,정좌표
62,67,하얼빈,전북 전주시 완산구 솟대1길 12 ,127.125272594433,35.7944030400567,정좌표
63,68,(유)아윈동서로마트,전북 전주시 완산구 삼천천변1길 35,127.114567681382,35.795404890793,정좌표
64,69,감탄 떡볶이 삼천점,전북 전주시 완산구 거마평로 11,127.116630324732,35.7935192575082,정좌표
