시군명,상호명,업종명,소재지(도로명주소),우편번호,위도,경도,데이터기준일자
의정부시,(동쭈)동두천쭈꾸미,일반휴게음식-일반한식,경기도 의정부시 발곡로 10,11729,37.730964,127.055653,2020-09-04
의정부시,(주)구쁘 붐바타 의정부민락점,일반휴게음식-서양음식,경기도 의정부시 오목로225번길 161,11813,,,2020-09-04
의정부시,(주)꽃우물숯불갈비신관,일반휴게음식-일반한식,경기도 의정부시 용민로489번길 88,11815,37.752289,127.11953,2020-09-04
의정부시,(주)명동(홈플의정부점),일반휴게음식-일반한식,경기도 의정부시 청사로 38,11757,37.751831,127.07053,2020-09-04
의정부시,(주)미셸푸드 카페안젤로&주스 의정부성모B,일반휴게음식-서양음식,경기도 의정부시 천보로 271 ,11765,,,2020-09-04
의정부시,(주)수아래,일반휴게음식-서양음식,경기도 의정부시 청사로 1 ,11780,,,2020-09-04
의정부시,(주)에이취앤스토리/버거킹의정부HP점,일반휴게음식-서양음식,경기도 의정부시 청사로 38,11757,37.751831,127.07053,2020-09-04
의정부시,(주)오뎅식당 R&D 센터,일반휴게음식-일반한식,경기도 의정부시 태평로137번길 16,11689,37.744692,127.050035,2020-09-04
의정부시,(주)오옛떡 민락점,일반휴게음식-스넥,경기도 의정부시 오목로225번길 140,11813,37.745187,127.094985,2020-09-04
의정부시,(주)월드커피바리스타협회,일반휴게음식-서양음식,경기도 의정부시 평화로 599,11690,37.745293,127.0456,2020-09-04
의정부시,(주)이오팔공,일반휴게음식-일반한식,경기도 의정부시 체육로306-32,11610,,,2020-09-04
의정부시,(주)이인,일반휴게음식-서양음식,경기도 의정부시 신흥로119번길 54,11631,,,2020-09-04
의정부시,(주)정들집,일반휴게음식-일반한식,경기도 의정부시 둔야로17번길 35-4,11649,,,2020-09-04
의정부시,(주)퍼스트그린씨앤에프 의정부점,일반휴게음식-일반한식,경기도 의정부시 금오동,11749,,,2020-09-04
의정부시,(주)회전목마,일반휴게음식-일반한식,경기도 의정부시 호국로 1627,11755,,,2020-09-04
의정부시,(주)훼밀리돈클럽/돈까스클럽용현점,일반휴게음식-서양음식,경기도 의정부시 시민로 458,11796,37.731221,127.083027,2020-09-04
의정부시,1000냥노가리호프,일반휴게음식-주점,경기도 의정부시 둔야로 351 ,11673,37.73907,127.039436,2020-09-04
의정부시,1004 바드,일반휴게음식-주점,경기도 의정부시 민락로 195,11813,37.742682,127.100703,2020-09-04
의정부시,11번가 커피 전문점,일반휴게음식-서양음식,경기도 의정부시 신흥로 210,11652,,,2020-09-04
의정부시,1936 육계장터,일반휴게음식-일반한식,경기도 의정부시 신촌로84번길 37,11686,37.748789,127.044433,2020-09-04
의정부시,1978,일반휴게음식-일반한식,경기도 의정부시 시민로 83,11670,37.738708,127.044461,2020-09-04
의정부시,19티,일반휴게음식-서양음식,경기도 의정부시 시민로121번길 61 ,11695,37.74094,127.050049,2020-09-04
의정부시,19티 의정부민락점,일반휴게음식-일반한식,경기도 의정부시 오목로225번길 177,11813,37.744488,127.097121,2020-09-04
의정부시,1박2일,일반휴게음식-일반한식,경기도 의정부시 신흥로 199,11653,37.733825,127.043131,2020-09-04
의정부시,1박2일,일반휴게음식-주점,경기도 의정부시 비우로108번길 8-2,11613,,,2020-09-04
의정부시,1번지 목살,일반휴게음식-일반한식,경기도 의정부시 용민로237번길 16-6,11769,37.749462,127.096821,2020-09-04
의정부시,1번지 옛날통닭,일반휴게음식-일반한식,경기도 의정부시 하금로4번길 5,11760,37.751016,127.061262,2020-09-04
의정부시,1번지포차,일반휴게음식-일반한식,경기도 의정부시 시민로143번길 77,11695,,,2020-09-04
의정부시,1인용 본점,일반휴게음식-일반한식,경기도 의정부시 시민로19번길 22-9,11673,37.739306,127.037223,2020-09-04
의정부시,1인한식당 의정부점,일반휴게음식-일반한식,경기도 의정부시 평화로562번길 47,11692,37.742851,127.050148,2020-09-04
의정부시,1일1치킨&떡볶이 (의정부점),일반휴게음식-스넥,경기도 의정부시 부용로 172,11774,37.751948,127.076292,2020-09-04
의정부시,1지구,일반휴게음식-주점,경기도 의정부시 용현로160번길 6-3,11808,37.740122,127.093179,2020-09-04
의정부시,1지구상전,일반휴게음식-일반한식,경기도 의정부시 용현로 97,11803,,,2020-09-04
의정부시,21세기 분식,일반휴게음식-일반한식,경기도 의정부시 오목로15번길 26,11791,,,2020-09-04
