음식점번호,음식점명,대표자명,도로명주소,지번주소,음식점유형,읍면동리,본번,부번,도로명,도로명본번,도로명부번,PNU코드
1,백제장,석남징,남한산성면 남한산성로780번길 3,남한산성면 산성리 589번지 ,한식,4161037021,589,0,남한산성로780번길,3,0,4.16104E+18
2,피자알볼로 경기광주점,나영경,중앙로 184 (송정동),송정동 112-6번지 송정동 ,패스트푸드,4161010300,112,6,중앙로,184,0,4.16101E+18
3,재넘어주막,박연홍,남한산성면 남한산성로 755,남한산성면 산성리 401-1번지 ,한식,4161037021,401,1,남한산성로,755,0,4.16104E+18
4,궁평식당,최돈순,도척면 도척윗로 188,도척면 궁평리 279번지 ,한식,4161033027,279,0,도척윗로,188,0,4.16103E+18
5,유대감집,유진만,남종면 산수로 1623,남종면 분원리 137번지 ,한식,4161035021,137,0,산수로,1623,0,4.16104E+18
6,하루방가든,WEE SEONG HYEUK,삼지곡길 54-16 (삼동),삼동 154-1번지 삼동 ,한식,4161010700,154,1,삼지곡길,54,16,4.16101E+18
7,석산정,박현국,남한산성면 남한산성로780번길 8,남한산성면 산성리 612번지 ,한식,4161037021,612,0,남한산성로780번길,8,0,4.16104E+18
8,사마루오리탕집,남철현,"초월읍 산수로 760 (,6)",초월읍 무갑리 626-3번지 6호,한식,4161025330,626,3,산수로,760,0,4.16103E+18
9,예전,조영란,"퇴촌면 천진암로 515-14 (,5)",퇴촌면 관음리 572번지 5호,한식,4161034022,572,0,천진암로,515,14,4.16103E+18
10,란이네집,김경란,곤지암읍 광여로 87 (외1필지(93-1)),곤지암읍 곤지암리 94-1번지 1필지 93동 1호,한식,4161025921,94,1,광여로,87,0,4.16103E+18
11,동서소머리국밥집,이복화,곤지암읍 곤지암로50번길 18,곤지암읍 곤지암리 443-15번지 ,한식,4161025921,443,15,곤지암로50번길,18,0,4.16103E+18
12,퇴촌왕갈비,이주청,퇴촌면 천진암로522번길 2,퇴촌면 관음리 661번지 ,식육(숯불구이),4161034022,661,0,천진암로522번길,2,0,4.16103E+18
13,안의종가집,김동인,이배재로 461 (목현동),목현동 365번지 목현동 ,한식,4161010600,365,0,이배재로,461,0,4.16101E+18
14,산마루공원,정영희,퇴촌면 천진암로 724,퇴촌면 관음리 242번지 ,식육(숯불구이),4161034022,242,0,천진암로,724,0,4.16103E+18
15,오포송어횟집,이상례,오포읍 오포로 876,오포읍 고산리 234-14번지 ,일식,4161025021,234,14,오포로,876,0,4.16103E+18
16,쇠뫼기,정명자,퇴촌면 정영로 580-3,퇴촌면 도수리 93번지 ,한식,4161034025,93,0,정영로,580,3,4.16103E+18
17,천현한우촌,김미화,초월읍 무갑길 68,초월읍 무갑리 607번지 ,한식,4161025330,607,0,무갑길,68,0,4.16103E+18
18,동래복국,조성익,"오포읍 신현로 8 (,8호)",오포읍 신현리 723-3번지 8호,복어취급,4161025022,723,3,신현로,8,0,4.16103E+18
19,내고향숯불갈비,정경숙,"초월읍 산수로 580, 1층 (B동)",초월읍 신월리 401-6번지 1층  B동,식육(숯불구이),4161025328,401,6,산수로,580,0,4.16103E+18
20,하나정,김창수,곤지암읍 경충대로 851,곤지암읍 삼리 177-1번지 ,한식,4161025936,177,1,경충대로,851,0,4.16103E+18
21,무봉리토종순대국,문세영,오포읍 오포로 518,오포읍 문형리 240-7번지 ,한식,4161025024,240,7,오포로,518,0,4.16103E+18
22,강남300CC점 클럽하우스,문종석,"새말길 353, 2층 (목동)",목동 497-6번지 목동 2층,한식,4161011300,497,6,새말길,353,0,4.16101E+18
23,강천장어,박성호,오포읍 새말길 262,오포읍 신현리 520번지 ,한식,4161025022,520,0,새말길,262,0,4.16103E+18
24,마이스터심슨부대찌개,심대근,순암로 300 (중대동),중대동 178-10번지 중대동 ,한식,4161010800,178,10,순암로,300,0,4.16101E+18
25,본가소머리국밥,고상수,곤지암읍 경충대로 540,곤지암읍 곤지암리 338-3번지 ,한식,4161025921,338,3,경충대로,540,0,4.16103E+18
26,상아궁,우남순,남한산성면 남한산성로 749,남한산성면 산성리 415-1번지 ,한식,4161037021,415,1,남한산성로,749,0,4.16104E+18
27,거궁,김정자,초월읍 경충대로 1362,초월읍 대쌍령리 396-3번지 ,한식,4161025321,396,3,경충대로,1362,0,4.16103E+18
28,사랑방소머리국밥,김상학,곤지암읍 경충대로 625,곤지암읍 곤지암리 442-16번지 ,한식,4161025921,442,16,경충대로,625,0,4.16103E+18
29,흙토담골,김성진,"퇴촌면 석둔길 3 (,외 1필지)",퇴촌면 영동리 333-3번지 1호필지,한식,4161034024,333,3,석둔길,3,0,4.16103E+18
30,송악추어탕,강문호,오포읍 신현로 4,오포읍 신현리 724-3번지 ,한식,4161025022,724,3,신현로,4,0,4.16103E+18
31,한계령,김학길,오포읍 회안대로71번길 13,오포읍 매산리 715-10번지 ,한식,4161025026,715,10,회안대로71번길,13,0,4.16103E+18
32,감미옥,이범혁,문화로 3-1 (역동),역동 70-6번지 역동 ,한식,4161011200,70,6,문화로,3,1,4.16101E+18
33,고향매운탕,이영배,"남종면 산수로 1686, 2~4층",남종면 분원리 244-5번지 ,한식,4161035021,244,5,산수로,1686,0,4.16104E+18
34,송탄이정부대찌개,위선영,오포읍 새말길 25,오포읍 신현리 660-13번지 ,한식,4161025022,660,13,새말길,25,0,4.16103E+18
35,장지골메기매운탕,탁은복,장지7길 9-21 (장지동),장지동 340-1번지 지동,한식,4161011100,340,1,장지7길,9,21,4.16101E+18
36,가원,이성자,퇴촌면 천진암로 536,퇴촌면 관음리 538-4번지 ,한식,4161034022,538,4,천진암로,536,0,4.16103E+18
37,할매순대국,김진이,곤지암읍 곤지암로 70-40,곤지암읍 곤지암리 453-3번지 ,한식,4161025921,453,3,곤지암로,70,40,4.16103E+18
38,장지리가마솥해장국,송채숙,순암로 150 (중대동),중대동 2-31번지 중대동 ,한식,4161010800,2,31,순암로,150,0,4.16101E+18
39,BBQ카페 곤지암리조트점,하혜경,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,경양식,4161033026,534,0,도척윗로,278,0,4.16103E+18
40,담하,이규홍,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
41,수와연,김응요,"남종면 산수로 1680 (,255-1)",남종면 분원리 255-1번지 255동 1호,한식,4161035021,255,1,산수로,1680,0,4.16104E+18
42,라그로타,이규홍,도척면 도척윗로 278 (곤지암리조트 스키장지구),도척면 도웅리 534번지 조트스키장 지구,경양식,4161033026,534,0,도척윗로,278,0,4.16103E+18
43,KOKIIN GALLERY,김복순,초월읍 설월길 8,초월읍 지월리 550-2번지 ,한식,4161025329,550,2,설월길,8,0,4.16103E+18
44,기와집의정부부대찌개,권기형,초월읍 산수로 576,초월읍 신월리 405-13번지 ,한식,4161025328,405,13,산수로,576,0,4.16103E+18
45,해신,정인호,초월읍 경충대로 1014,초월읍 쌍동리 170-9번지 ,탕류(보신용),4161025322,170,9,경충대로,1014,0,4.16103E+18
46,한마당,손희진,남한산성면 남한산성로792번길 17-1,남한산성면 산성리 1005번지 ,한식,4161037021,1005,0,남한산성로792번길,17,1,4.16104E+18
47,이로재,김현묵,남한산성면 엄미길 72-38,남한산성면 엄미리 264번지 ,한식,4161037022,264,0,엄미길,72,38,4.16104E+18
48,가나안농장한우,김복연,도척면 도척로 641,도척면 유정리 245-6번지 ,한식,4161033022,245,6,도척로,641,0,4.16103E+18
49,친환경쌈밥,강향구,"곤지암읍 경충대로 731, 2층",곤지암읍 삼리 680번지 2층,한식,4161025936,680,0,경충대로,731,0,4.16103E+18
50,정상휴게소(Cafe on Top),이규홍,"도척면 도척윗로 278, 1층",도척면 도웅리 534번지 1층,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
51,나물숲향기,임병훈,오포읍 상태길 11,오포읍 신현리 725-1번지 ,한식,4161025022,725,1,상태길,11,0,4.16103E+18
52,능골한우가,정현아,"오포읍 오포로 147, 2층",오포읍 능평리 146-6번지 2층,식육(숯불구이),4161025023,146,6,오포로,147,0,4.16103E+18
53,천덕봉삼계탕,김정혜,"도척면 도척윗로 278, 2층",도척면 도웅리 534번지 2층,한식,4161033026,534,0,도척윗로,278,0,4.16103E+18
54,맛있는 발효밥상궁뜰,이윤희,"도척면 궁평하천길 38, 1층",도척면 궁평리 2-5번지 1층,한식,4161033027,2,5,궁평하천길,38,0,4.16103E+18
55,해송,이옥주,"도척면 국사봉로 1, 1층",도척면 진우리 161-1번지 1층,한식,4161033028,161,1,국사봉로,1,0,4.16103E+18
56,소풍,서의석,"도척면 도척윗로 278, 2층 (곤지암리조트 내 스카디하우스, 2층)",도척면 도웅리 534번지 조트내스카디하우스 2층   2호층,일식,4161033026,534,0,도척윗로,278,0,4.16103E+18
57,카페라운지,이전옥,"도척면 도척윗로 278, 1층 (곤지암리조트 콘도미니엄 WE빌리지콘도미니엄)",도척면 도웅리 534번지 조트콘도미니엄WE빌리지 1층  콘도미니엄,까페,4161033026,534,0,도척윗로,278,0,4.16103E+18
58,송유향,유보미,"순암로 270, 2층 (중대동)",중대동 117-1번지 중대동 2층,중국식,4161010800,117,1,순암로,270,0,4.16101E+18
59,찜했어!,박민정,"태중로 20, 티큐브 2층 201호 (태전동)",태전동 282-1번지 티큐브 2층  201호 태전동,한식,4161011000,282,1,태중로,20,0,4.16101E+18
60,곤짬뽕,이규홍,"도척면 도척윗로 278, 스키하우스  2층",도척면 도웅리 534번지 스키하우스 2층,중국식,4161033026,534,0,도척윗로,278,0,4.16103E+18
62,천일관,최인환,남한산성면 남한산성로 791,남한산성면 산성리 523번지 ,한식,4161037021,523,0,남한산성로,791,0,4.16104E+18
63,산성대가,임상혁,남한산성면 남한산성로792번길 11-12,남한산성면 산성리 1002-1번지 ,한식,4161037021,1002,1,남한산성로792번길,11,12,4.16104E+18
64,동해춘,염은철,경안로25번길 3-1 (경안동),경안동 33-2번지 경안동 ,중국식,4161010100,33,2,경안로25번길,3,1,4.16101E+18
65,골목집,이선옥,"광주대로97번길 27, 1층 (송정동)",송정동 101-64번지 송정동 1층,한식,4161010300,101,64,광주대로97번길,27,0,4.16101E+18
