업소명,주소,전화번호,메뉴,데이터기준일자
은진미용실,서울특별시 금천구 금하로25길 16,02-894-5243,"커트 8,000원, 염색 20,000원, 파마 25,000원",2020-09-11
포스트푸드,서울특별시 금천구 디지털로 9길 68 B106~111호,02-2624-3939,"한식 5,000원",2020-09-11
G7 크린랜드,서울특별시 금천구 금하로 29길 14,02-803-7600,"세탁료 5,000원,의복수선료 3,000원",2020-09-11
가산 순대국,서울특별시 금천구 가산로 147-7,02-830-7514,"순대국 7,000원",2020-09-11
가영미용실,서울특별시 금천구 시흥대로39길 8,02-715-4539,"커트 6,000원,파마 20,000원",2020-09-11
고기굽는마을,서울특별시 금천구 벚꽃로38길 32-29,02-858-0390,"김치찌개 5,000원,된장찌개 5,000원",2020-09-11
고기마을 호수,서울특별시 금천구 벚꽃로73,02-895-0134,"된장찌개 5,000원,냉면 5,000원",2020-09-11
남자들의 세상,서울특별시 금천구 독산로 45,070-4133-7322,"커트 5,000원,염색 10,000원",2020-09-11
다래성,서울특별시 금천구 시흥대로 471-1,02-856-6725,"짜장면 2,500원,짬뽕 3,500원",2020-09-11
두산이발관,"서울특별시 금천구 가산로 99, B01호",02-851-1057,"커트 5,000원",2020-09-11
듬배골,서울특별시 금천구 독산로10길 38,02-803-8411,"보리밥 7,000원,냉면 4,000원",2020-09-11
만세한식부페,서울특별시 금천구 가산로3길 77,02-808-7862,"부페 5,000원",2020-09-11
맛순이,"서울특별시 금천구 가산로5길 72, 103호",02-861-0758,"순대국 6,000원,뼈해장국 7,000원",2020-09-11
매니아 당구클럽,서울특별시 금천구 독산로 218 ,02-893-1160,"10분당 1,000원",2020-09-11
박리분식,서울특별시 금천구 가산로 126,02-857-4009,"김밥 2,000원,뚝불고기 6,000원",2020-09-11
베스트컷,"서울특별시 금천구 가산로 140, 1층",02-855-8805,"커트 8,000원, 염색 20,000~30,000원",2020-09-11
산들바다 생고기,서울특별시 금천구 금하로 613,02-808-6919,"돼지한마리 15,900원,생돼지불고기 5,500원",2020-09-11
송도사,서울특별시 금천구 가산로3길 48,02-861-2037,"양복 드라이클리닝 7,000원",2020-09-11
얼큰순대국,"서울특별시 금천구 범안로 1201, 1층",02-809-8550,"순대국 7,000원,뚝불고기 6,000원",2020-09-11
영화 미용실,서울특별시 금천구 독산로44길15,02-805-2864,"파마 20,000원,커트 6,000원",2020-09-11
금천골 오리명가,서울특별시 금천구 시흥대로78길59 ,02-808-1246,"김치찌개 7,000원,된장찌개 6,000원",2020-09-11
육합춘,서울특별시 금천구 시흥대로26길 5,02-802-0133,"짜장면 3,000원,짬뽕 5,000원",2020-09-11
은행나무 갈매기,서울특별시 금천구 금하로 678,02-894-8999,"돼지갈비 7,900원,갈비살 7,900원",2020-09-11
은혜세탁소,"서울특별시 금천구 벚꽃로 73, 103호",02-892-1230,"양복 7,000원",2020-09-11
자연화로구이,서울특별시 금천구 시흥대로153길 42,02-862-8535,"부페 5,000원",2020-09-11
장수숯불갈비,서울특별시 금천구 시흥대로56길 18,02-805-8284,"돼지갈비 10,000원,돈가스 4,000원",2020-09-11
정훈사,서울특별시 금천구 독산로73길9,02-839-8389,"세탁료 5,000원,의복수선료 3,000원",2020-09-11
조여사네집,서울특별시 금천구 벚꽃로 130,02-859-7418,"순대국 5,000원",2020-09-11
진미식당,서울특별시 금천구 가산로3길 25,02-869-7774,"백반 5,500원",2020-09-11
진미한분식,서울특별시 금천구 가산로3길 22,02-854-7153,"김치찌개 5,000원,우 동 4,500원",2020-09-11
참치킹,서울특별시 금천구 벚꽃로 298,02-2083-8885,"알라면 6,000원,회덮밥 7,000원",2020-09-11
 K-1당구클럽,서울특별시 금천구 시흥대로123길 7,02-862-3282,"당구이용료 10분당 1,000원",2020-09-11
카와블러썸,서울특별시 금천구 남부순환로108길 30,02-867-4952,"아메리카노 2,000원,카페라떼 3,000원",2020-09-11
풍천장어,서울특별시 금천구 시흥대로52길 70,02-802-5525,"된장찌개 5,000원,냉면 5,000원",2020-09-11
한신세탁소,"서울특별시 금천구 한내로 62,한신상가2층",02-898-9230,"상의 4,000원,하의 3,000원",2020-09-11
현대세탁소,서울특별시 금천구 범안로17길 23,02-804-1477,"양복 6,000원",2020-09-11
현대컴퓨터세탁,서울특별시 금천구 벚꽃로56길 40,02-863-3719,"양복 7,000원",2020-09-11
홍능갈비,서울특별시 금천구 범안로21길 6,02-894-8292,"삼겹살 13,000원,냉면 5,000원",2020-09-11
홍두깨 손칼국수,서울특별시 금천구 독산로39길 11,02-892-2060,"칼국수 3,500원,잔치국수 2,500원",2020-09-11
정가네촌뼈다귀감자탕,서울특별시 금천구 독산로 46,02-808-4332,"선지해장국 5,000원, 뼈다귀해장국: 6,000원",2020-09-11
