업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,업태명
일반음식점,1970-12-17,옹골찬아구동태찜탕,서울특별시 중랑구 면목로 302 (면목동),서울특별시 중랑구 면목동 626-17 외 1필지 ,157.99,한식
일반음식점,1972-07-03,가고파식당,서울특별시 중랑구 봉우재로 200 (망우동),서울특별시 중랑구 망우동 517-1 ,65.9,분식
일반음식점,1977-06-16,뼈다귀해장국,서울특별시 중랑구 중랑역로 8 (중화동),서울특별시 중랑구 중화동 207-15 ,28.18,한식
일반음식점,1977-04-13,서울식당,서울특별시 중랑구 중랑천로12길 75 (상봉동),서울특별시 중랑구 상봉동 129-73 ,35.01,한식
일반음식점,1977-08-05,무진장한식,서울특별시 중랑구 겸재로18길 3 (면목동),서울특별시 중랑구 면목동 150-7 ,30.4,한식
일반음식점,1978-12-29,석이네닭갈비,서울특별시 중랑구 용마산로 425 (면목동),서울특별시 중랑구 면목동 22-19 ,88.8,한식
일반음식점,1978-12-09,BBQ 상봉역점,"서울특별시 중랑구 봉우재로 155, 102호 (상봉동)",서울특별시 중랑구 상봉동 87-27 ,33.58,통닭(치킨)
일반음식점,1981-12-30,갈비애드림 묵동점,"서울특별시 중랑구 공릉로 42 (묵동,, 10)","서울특별시 중랑구 묵동 171-9 , 10 ",20.13,한식
일반음식점,1981-12-08,남원정통추어탕,서울특별시 중랑구 동일로 778 (중화동),서울특별시 중랑구 중화동 288-27 ,24.17,한식
일반음식점,1982-06-29,통큰갈비(면목점),서울특별시 중랑구 겸재로 187 (면목동),서울특별시 중랑구 면목동 102-51 ,112.31,한식
일반음식점,1982-12-23,엉터리숯불갈비,서울특별시 중랑구 겸재로 102 (면목동),서울특별시 중랑구 면목동 175-2 ,64.26,한식
일반음식점,1982-12-06,대관령쌈밥,서울특별시 중랑구 용마산로115길 15 (망우동),서울특별시 중랑구 망우동 469-1 ,108.5,한식
일반음식점,1982-02-04,태능설렁탕,서울특별시 중랑구 공릉로 65 (묵동),서울특별시 중랑구 묵동 162-1 ,38.28,한식
일반음식점,1982-07-29,행운정,서울특별시 중랑구 중랑천로 362-1 (묵동),서울특별시 중랑구 묵동 233-90 ,62.64,한식
일반음식점,1982-03-30,시골식당,,서울특별시 중랑구 면목동 114-6 ,22.75,호프/통닭
일반음식점,1982-05-11,오성맥주,서울특별시 중랑구 용마산로 409 (면목동),서울특별시 중랑구 면목동 20-51 ,53.13,통닭(치킨)
일반음식점,1982-09-13,오자매돌판모듬볶음양꼬치구이,서울특별시 중랑구 동일로163길 50 (묵동),서울특별시 중랑구 묵동 237-70 ,29.14,호프/통닭
일반음식점,1983-10-27,서향,서울특별시 중랑구 봉우재로 97 (상봉동),서울특별시 중랑구 상봉동 125-1 ,60.21,중국식
일반음식점,1983-12-28,태능식당,서울특별시 중랑구 중랑역로 143 (묵동),서울특별시 중랑구 묵동 249-119 ,25,한식
일반음식점,1983-12-19,빛나는 바다,"서울특별시 중랑구 중랑역로 249, 1층 (묵동)",서울특별시 중랑구 묵동 233-103 ,130,횟집
일반음식점,1983-10-21,대구참막창,서울특별시 중랑구 사가정로51길 43 (면목동),서울특별시 중랑구 면목동 572-30 ,25,기타
일반음식점,1983-12-22,양금이감자탕,서울특별시 중랑구 면목로 396 (면목동),서울특별시 중랑구 면목동 359-25 ,189,한식
일반음식점,1983-11-25,인생포차술집,서울특별시 중랑구 공릉로12가길 1 (묵동),서울특별시 중랑구 묵동 158-3 ,20.11,통닭(치킨)
일반음식점,1983-09-07,아구찜,서울특별시 중랑구 봉우재로14길 9 (면목동),서울특별시 중랑구 면목동 180-50 ,17.15,한식
일반음식점,1984-09-21,홍어본가,"서울특별시 중랑구 동일로 867 (묵동,, 84)","서울특별시 중랑구 묵동 245-3 , 84 ",0,한식
일반음식점,1984-10-13,동강오리,서울특별시 중랑구 용마산로115길 10 (망우동),서울특별시 중랑구 망우동 486-9 ,65.7,한식
일반음식점,1984-09-29,한방닭,서울특별시 중랑구 봉우재로 100 (면목동),서울특별시 중랑구 면목동 132-21 ,40.44,한식
일반음식점,1984-10-18,숯불구이가,서울특별시 중랑구 동일로 608 (면목동),서울특별시 중랑구 면목동 161-34 ,96.61,한식
일반음식점,1984-03-24,까망통돼지,서울특별시 중랑구 면목로 488 (상봉동),서울특별시 중랑구 상봉동 102-89 ,93.75,한식
일반음식점,1984-09-13,대흥각,서울특별시 중랑구 동일로139길 7 (중화동),서울특별시 중랑구 중화동 305-66 ,27.75,중국식
일반음식점,1984-10-19,화신대반점,서울특별시 중랑구 겸재로10길 15 (면목동),서울특별시 중랑구 면목동 175-103 ,24.5,중국식
일반음식점,1984-10-05,짜앤짬,서울특별시 중랑구 겸재로 130 (면목동),서울특별시 중랑구 면목동 149-4 ,49.67,중국식
일반음식점,1984-09-20,광장포차(먹골역점),서울특별시 중랑구 동일로163길 7 (묵동),서울특별시 중랑구 묵동 239-161 ,75.16,정종/대포집/소주방
일반음식점,1984-08-18,60계치킨 서울 망우점,"서울특별시 중랑구 용마산로 494, 상아빌딩 1층 109호 (망우동)",서울특별시 중랑구 망우동 410-1 상아빌딩 ,143,호프/통닭
일반음식점,1984-11-27,개성숯불갈비,서울특별시 중랑구 겸재로 261 (망우동),서울특별시 중랑구 망우동 526-2 ,180.63,한식
일반음식점,1984-09-06,홈런호프,서울특별시 중랑구 겸재로 129 (면목동),서울특별시 중랑구 면목동 148-9 ,20.27,호프/통닭
일반음식점,1984-03-17,동서울통닭,서울특별시 중랑구 사가정로 337 (면목동),서울특별시 중랑구 면목동 166-44 ,16.32,통닭(치킨)
일반음식점,1984-09-06,왕돈까스 왕냉면,"서울특별시 중랑구 겸재로 185, 1층 (면목동)",서울특별시 중랑구 면목동 102-18 ,29.6,한식
일반음식점,1984-04-11,우인,"서울특별시 중랑구 면목로 213, 1층 (면목동)",서울특별시 중랑구 면목동 398-8 ,26.18,까페
일반음식점,1985-01-25,까치기사식당,서울특별시 중랑구 망우로36길 33 (상봉동),서울특별시 중랑구 상봉동 128-72 ,46.98,한식
일반음식점,1985-10-04,성창식당,서울특별시 중랑구 면목로 421 (면목동),서울특별시 중랑구 면목동 126-6 ,25.88,한식
일반음식점,1985-11-04,일미식당,서울특별시 중랑구 봉우재로49길 21 (상봉동),서울특별시 중랑구 상봉동 86-1 ,40.85,한식
일반음식점,1985-12-21,천외천,서울특별시 중랑구 봉우재로33길 12 (상봉동),서울특별시 중랑구 상봉동 106-25 ,26.05,한식
일반음식점,1985-07-20,한독식당,서울특별시 중랑구 동일로 747 (중화동),서울특별시 중랑구 중화동 296-3 ,66.36,한식
일반음식점,1985-10-14,용마갈비,서울특별시 중랑구 용마산로 498 (망우동),서울특별시 중랑구 망우동 403-69 ,33.2,한식
일반음식점,1985-10-16,여주삼계탕,서울특별시 중랑구 중랑역로 276-11 (묵동),서울특별시 중랑구 묵동 162-7 ,58.14,한식
일반음식점,1985-01-24,전골과삼겹살,서울특별시 중랑구 면목로27길 77 (면목동),서울특별시 중랑구 면목동 382-2 ,18.79,한식
일반음식점,1986-06-04,청춘아구코다리찜,서울특별시 중랑구 동일로163길 9 (묵동),서울특별시 중랑구 묵동 239-154 ,41.58,한식
일반음식점,1986-12-30,금천숯불갈비,서울특별시 중랑구 공릉로 80 (묵동),서울특별시 중랑구 묵동 159-27 ,90.42,한식
일반음식점,1986-05-06,장원식당,서울특별시 중랑구 용마산로 557 (신내동),서울특별시 중랑구 신내동 492-24 ,23.17,한식
일반음식점,1986-10-31,영암순대국,서울특별시 중랑구 상봉로25길 3 (상봉동),서울특별시 중랑구 상봉동 84-44 ,18.72,한식
일반음식점,1986-10-25,동원소국밥,서울특별시 중랑구 상봉로11길 6 (면목동),서울특별시 중랑구 면목동 87-14 ,27.22,한식
일반음식점,1986-12-05,주당호프,서울특별시 중랑구 면목로 368 (면목동),서울특별시 중랑구 면목동 412-3 ,83.95,호프/통닭
일반음식점,1986-09-05,포싸이,서울특별시 중랑구 겸재로 185 (면목동),서울특별시 중랑구 면목동 102-18 ,22.32,"외국음식전문점(인도,태국등)"
일반음식점,1986-06-16,비어킹,서울특별시 중랑구 중랑역로 265 (묵동),서울특별시 중랑구 묵동 166-14 ,47.01,통닭(치킨)
일반음식점,1987-01-23,참숯흑돼지숯불구이,서울특별시 중랑구 동일로151길 12 (묵동),서울특별시 중랑구 묵동 244-42 ,76.14,한식
일반음식점,1987-10-14,진미파전,서울특별시 중랑구 신내로 10 (신내동),서울특별시 중랑구 신내동 494-58 ,17.36,한식
일반음식점,1987-11-09,봉구비어,서울특별시 중랑구 용마산로115길 92 (망우동),서울특별시 중랑구 망우동 490-13 ,27.2,호프/통닭
일반음식점,1987-04-10,대성식당,서울특별시 중랑구 봉우재로33길 76 (상봉동),서울특별시 중랑구 상봉동 88-76 ,65.12,한식
일반음식점,1987-12-22,작은음악회 7080,"서울특별시 중랑구 동일로 851 (묵동,, 3)","서울특별시 중랑구 묵동 250-2 , 3 ",174,호프/통닭
일반음식점,1987-11-17,대가순대국,서울특별시 중랑구 용마산로 538 (망우동),서울특별시 중랑구 망우동 364-1 ,131.4,한식
일반음식점,1987-06-29,김정희김밥전문점,서울특별시 중랑구 면목로 478-1 (상봉동),서울특별시 중랑구 상봉동 107-28 ,76.5,분식
일반음식점,1987-09-08,털보네식당,서울특별시 중랑구 상봉로 117 (상봉동),서울특별시 중랑구 상봉동 83-1 ,44.1,한식
