개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지
opnsfteamcode,mgtno,apvpermymd,apvcancelymd,trdstategbn,trdstatenm,dtlstategbn,dtlstatenm,dcbymd,clgstdt,clgenddt,ropnymd,sitetel,sitearea,sitepostno,sitewhladdr,rdnwhladdr,rdnpostno,bplcnm,lastmodts,updategbn,updatedt,uptaenm,x,y,sntuptaenm,maneipcnt,wmeipcnt,trdpjubnsenm,lvsenm,wtrsplyfacilsenm,totepnum,hoffepcnt,fctyowkepcnt,fctysiljobepcnt,fctypdtjobepcnt,bdngownsenm,isream,monam,multusnupsoyn,faciltotscp,jtupsoasgnno,jtupsomainedf,homepage
3180000,3180000-104-1899-00855,18991230,,03,폐업,02,폐업,20010302,,,,02,93.24,150091,서울특별시 영등포구 문래동1가 22-16번지 ,,,용궁다방,20010302000000,I,2018-08-31 23:59:59.0,다방,191134.040548632    ,445762.057285112    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,93.24,,,
3180000,3180000-104-1913-01275,19130916,,01,영업/정상,01,영업,,,,,0207834877,114.03,150877,서울특별시 영등포구 여의도동 24-2번지 102호 ,서울특별시 영등포구 여의나루로 77-1 (여의도동,102호),07327,린네스가든,20190614142212,U,2019-06-16 02:40:00.0,다방,193488.889001013    ,446902.521592949    ,다방,0,5,기타,지도,상수도전용,,,,,,,,,N,114.03,,,
3180000,3180000-104-1933-01958,19330413,,03,폐업,02,폐업,19990825,,,,0207802673,32.37,150010,서울특별시 영등포구 여의도동 1-140번지 ,,,뉴욕제과,20010802000000,I,2018-08-31 23:59:59.0,과자점,,,과자점,3,4,아파트지역,지도,상수도전용,,,,,,,,,N,32.37,,,
3180000,3180000-104-1934-00386,19340826,,03,폐업,02,폐업,20091216,,,,0206306000,17.92,150034,서울특별시 영등포구 영등포동4가 441-21번지 ,,,휠라휘프,20091216204121,I,2018-08-31 23:59:59.0,백화점,,,백화점,0,0,기타,기타,상수도전용,,,,,,,,,N,17.92,,,
3180000,3180000-104-1966-00957,19661227,,03,폐업,02,폐업,20160121,,,,0226785003,116.55,150034,서울특별시 영등포구 영등포동4가 426-71번지 지하1층 ,,,희,20090826143105,I,2018-08-31 23:59:59.0,다방,191517.978666667    ,445999.559666667    ,다방,2,2,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,116.55,,,
3180000,3180000-104-1967-00912,19670330,,03,폐업,02,폐업,20101227,,,,0226354329,43.38,150036,서울특별시 영등포구 영등포동6가 79-0번지 지하1층 ,,,궁전,20090817145619,I,2018-08-31 23:59:59.0,다방,191408.2951524      ,446472.146786764    ,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,43.38,,,
3180000,3180000-104-1967-01345,19670915,,03,폐업,02,폐업,19971126,,,,0206782018,68.26,150033,서울특별시 영등포구 영등포동3가 3-2번지 ,,,한성,20010802000000,I,2018-08-31 23:59:59.0,다방,191827.661989786    ,446313.399531425    ,다방,0,3,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,68.26,,,
3180000,3180000-104-1967-01626,19671115,,03,폐업,02,폐업,19950208,,,,0206776046,40.16,150035,서울특별시 영등포구 영등포동5가 6-0번지 ,,,영,20010802000000,I,2018-08-31 23:59:59.0,다방,191747.252214472    ,446393.375935392    ,다방,0,3,기타,지도,상수도전용,,,,,,,,,N,40.16,,,
3180000,3180000-104-1968-00846,19680430,,03,폐업,02,폐업,19960719,,,,0206345327,75.73,150036,서울특별시 영등포구 영등포동6가 79-6번지 ,,,뉴욕,20010802000000,I,2018-08-31 23:59:59.0,다방,,,다방,0,2,기타,지도,상수도전용,,,,,,,,,N,75.73,,,
